n,win,expR,pf,ddR,t,totR,rr,swing_lb,fvg_window,zones,trend_filter,min_gap_atr,max_risk_atr,atr_rank_min,atr_rank_max
31,41.935483870967744,0.025356167313973034,1.0421504729498305,6.210932654097761,0.11118074829513781,0.786041186733164,1.5,,,ny_am,True,1.0,5.0,,
57,35.08771929824561,0.02048370749717945,1.0301886468727726,11.532834626650033,0.10572750665314896,1.1675713273392287,2.0,,,ny_am,True,0.5,2.0,,
103,30.097087378640776,0.010120980844401242,1.0136829378093526,20.14984479510743,0.06277239374314257,1.0424610269733279,2.5,,,ny_am,True,0.25,2.0,,
151,29.80132450331126,0.005532751669920305,1.0075037427286904,17.51651829608072,0.041806951104972276,0.8354455021579661,2.5,,,ny_am,True,0.25,5.0,,
32,34.375,0.004743669026088859,1.006962829079383,7.723164117256852,0.018326470148473085,0.1517974088348435,2.0,,,ny_am,True,1.0,0.0,,
152,29.605263157894733,-0.0012564419683499118,0.998300346621679,18.54294297742787,-0.009544376403616875,-0.1909791791891866,2.5,,,ny_am,True,0.25,0.0,,
107,41.1214953271028,-0.009297747912840779,0.9850674839106359,14.799781957560675,-0.07629679666112243,-0.9948590266739634,1.5,,,ny_am,True,0.25,2.0,,
143,29.37062937062937,-0.010976061353978342,0.9852271286976368,19.002451982418343,-0.08100927383028594,-1.5695767736189028,2.5,,,ny_am,True,0.25,3.0,,
205,34.146341463414636,-0.014328525333006195,0.9793619194167795,19.53924589302279,-0.14168335643888114,-2.93734769326627,2.0,,,ny_am,False,0.25,2.0,,
243,29.218106995884774,-0.016913385763498153,0.9772979506214671,16.532954410576796,-0.16320598140222672,-4.109952740530051,2.5,,,ny_am,False,0.25,3.0,,
95,33.68421052631579,-0.017057529098907436,0.9752297801328002,11.571350040087752,-0.11538766485250752,-1.6204652643962063,2.0,,,ny_am,True,0.5,0.0,,
80,28.749999999999996,-0.024945454420808356,0.966370170601956,11.030859045078191,-0.13858953699475965,-1.9956363536646684,2.5,,,ny_am,True,0.5,3.0,,
42,33.33333333333333,-0.026860257725067754,0.9611520462183649,8.328603047534417,-0.12036391540234391,-1.1281308244528456,2.0,,,ny_am,False,1.0,5.0,,
91,28.57142857142857,-0.029969401978294227,0.9596348107464787,11.949268822557293,-0.17810962848144732,-2.7272155800247746,2.5,,,ny_am,True,0.5,0.0,,
133,28.57142857142857,-0.03366767934972073,0.9548693474443243,11.51823620263881,-0.24201611592365646,-4.477801353512858,2.5,,,ny_am,False,0.5,3.0,,
251,28.68525896414343,-0.034810291403097916,0.9535672268150615,14.43030843906276,-0.343382874369437,-8.737383142177578,2.5,,,ny_am,False,0.25,5.0,,
251,28.68525896414343,-0.03484746624125044,0.9535199463895079,14.42648629384365,-0.34374466398315656,-8.74671402655386,2.5,,,ny_am,False,0.25,0.0,,
82,32.926829268292686,-0.04126449797232494,0.9408421217703432,11.530859045078214,-0.26051561611694,-3.383688833730645,2.0,,,ny_am,True,0.5,3.0,,
157,33.12101910828025,-0.04197560916125797,0.9402089127776002,20.542942977427906,-0.36604066591145623,-6.590170638317501,2.0,,,ny_am,True,0.25,0.0,,
146,32.87671232876712,-0.04350144991384004,0.937744884869806,13.339398409441943,-0.3674790813835981,-6.351211687420646,2.0,,,ny_am,False,0.5,0.0,,
134,32.83582089552239,-0.045707166691672955,0.9347046839532721,13.970605857288518,-0.36981096053351,-6.124760336684176,2.0,,,ny_am,False,0.5,3.0,,
89,28.08988764044944,-0.047165468792958735,0.9369115068943576,13.419779965105846,-0.2785961040774324,-4.197726722573328,2.5,,,ny_am,True,0.5,5.0,,
155,32.903225806451616,-0.04878077631955441,0.9307557773655425,19.516518296080744,-0.4233358134639445,-7.561020329530933,2.0,,,ny_am,True,0.25,5.0,,
92,32.608695652173914,-0.049872291081579846,0.9287466419160765,12.541861182636298,-0.33466837810270833,-4.588250779505346,2.0,,,ny_am,True,0.5,5.0,,
247,32.79352226720648,-0.053539711504876235,0.9242453391329398,17.998675901855666,-0.5876257106097846,-13.22430874170443,2.0,,,ny_am,False,0.25,3.0,,
147,32.6530612244898,-0.05759212656671962,0.9186767420677922,20.502451982418368,-0.48739424668150894,-8.466042605307784,2.0,,,ny_am,True,0.25,3.0,,
255,32.549019607843135,-0.06013492018154911,0.9151294205216801,19.3006857798939,-0.6721557835631169,-15.334404646295024,2.0,,,ny_am,False,0.25,0.0,,
144,27.77777777777778,-0.060611708964852275,0.9195329383527393,11.336460578394009,-0.45753702032491433,-8.728086090938728,2.5,,,ny_am,False,0.5,0.0,,
254,32.28346456692913,-0.06819822100188708,0.904121892084242,19.2875327502985,-0.762432250254256,-17.322348134479316,2.0,,,ny_am,False,0.25,5.0,,
105,32.38095238095238,-0.07011261946321852,0.9019236905827668,22.64984479510743,-0.5011356236768268,-7.361825043637944,2.0,,,ny_am,True,0.25,2.0,,
144,31.944444444444443,-0.07177840971875453,0.8986754865112145,15.32318120374225,-0.606729613463534,-10.336090999500652,2.0,,,ny_am,False,0.5,5.0,,
143,27.27272727272727,-0.07843140580739963,0.8965899982665404,11.336460578394007,-0.5933731432592501,-11.215691030458148,2.5,,,ny_am,False,0.5,5.0,,
42,26.190476190476193,-0.1116457277070004,0.8539768827688824,10.758546223758847,-0.4607045737569334,-4.689120563694017,2.5,,,ny_am,False,1.0,0.0,,
30,30.0,-0.13102840938137258,0.8202049081865429,6.748983026504526,-0.507496611722488,-3.9308522814411777,2.0,,,ny_am,False,1.0,3.0,,
40,25.0,-0.15408634628654203,0.8017517219543229,10.758546223758845,-0.6296555048227317,-6.163453851461681,2.5,,,ny_am,False,1.0,5.0,,
16,,,,,,,1.5,,,ny_am,False,1.0,2.0,,
11,,,,,,,1.5,,,ny_am,True,1.0,2.0,,
21,,,,,,,1.5,,,ny_am,True,1.0,3.0,,
16,,,,,,,2.0,,,ny_am,False,1.0,2.0,,
11,,,,,,,2.0,,,ny_am,True,1.0,2.0,,
20,,,,,,,2.0,,,ny_am,True,1.0,3.0,,
