ts,side,outcome,R
2022-12-06 09:35:00-05:00,short,target,1.9878048780493756
2022-12-07 10:05:00-05:00,long,timeout,
2022-12-08 10:45:00-05:00,short,stop,-1.1563896335874406
2022-12-09 09:55:00-05:00,short,stop,-1.0413418379390182
2022-12-12 10:35:00-05:00,short,stop,-1.0435431699416873
2022-12-13 10:05:00-05:00,short,target,1.9969583414444598
2022-12-15 10:50:00-05:00,short,target,1.9908351052133277
2022-12-16 10:00:00-05:00,short,target,1.9914529914532837
2022-12-19 10:15:00-05:00,long,target,1.977127172920667
2022-12-20 09:55:00-05:00,long,target,1.9919923126203718
2022-12-23 10:50:00-05:00,short,target,1.9899477281869749
2022-12-27 10:20:00-05:00,long,timeout,
2022-12-30 10:30:00-05:00,short,stop,-1.0945026460689844
2023-01-03 09:50:00-05:00,short,target,1.9960006398976804
2023-01-05 09:55:00-05:00,long,target,1.9896992171409276
2023-01-06 09:55:00-05:00,long,target,1.9899071457412225
2023-01-09 11:00:00-05:00,short,stop,-1.1483050847331753
2023-01-10 10:30:00-05:00,short,stop,-1.0392447075699853
2023-01-11 10:35:00-05:00,short,stop,-1.0551911189587724
2023-01-12 10:05:00-05:00,long,target,1.9811463046771391
2023-01-16 09:30:00-05:00,short,target,1.9857142857151024
2023-01-17 10:30:00-05:00,short,target,1.9790092359379543
2023-01-18 10:15:00-05:00,short,target,1.9772727272747943
2023-01-19 10:00:00-05:00,long,stop,-1.082314205076088
2023-01-20 09:30:00-05:00,long,target,1.9925350851002532
2023-01-24 10:00:00-05:00,short,timeout,
2023-01-26 09:45:00-05:00,short,target,1.9931110498761886
2023-01-30 11:00:00-05:00,long,target,1.9908391352146997
2023-01-31 10:00:00-05:00,short,stop,-1.0638919313594744
2023-02-01 09:35:00-05:00,short,stop,-1.0804967801250913
2023-02-03 09:40:00-05:00,long,target,1.9960986267166652
2023-02-06 10:50:00-05:00,long,target,1.9934486373167335
2023-02-07 10:20:00-05:00,long,target,1.991719112289112
2023-02-08 09:30:00-05:00,short,target,1.996942195259217
2023-02-10 10:45:00-05:00,short,target,1.9951007290116192
2023-02-13 10:10:00-05:00,short,target,1.971231300348538
2023-02-14 10:30:00-05:00,short,target,1.9953731122298755
2023-02-15 10:20:00-05:00,long,target,1.9953780735811542
2023-02-17 10:45:00-05:00,short,timeout,
2023-02-21 09:40:00-05:00,long,stop,-1.0938841201666378
2023-02-22 09:55:00-05:00,short,target,1.9905510620609819
2023-02-23 10:05:00-05:00,short,target,1.988511029412293
2023-02-28 10:15:00-05:00,short,stop,-1.0620523367115045
2023-03-01 09:50:00-05:00,long,stop,-1.06166314305632
2023-03-03 10:55:00-05:00,short,target,1.9823695345569565
2023-03-07 10:25:00-05:00,long,target,1.9922696351270173
2023-03-08 10:50:00-05:00,short,stop,-1.0780135520649983
2023-03-09 10:15:00-05:00,short,target,1.9889429455997818
2023-03-10 10:05:00-05:00,long,stop,-1.0228997644592657
2023-03-15 09:30:00-04:00,short,stop,-1.0262408157141067
2023-03-16 09:35:00-04:00,short,stop,-1.0424036830617291
2023-03-23 09:30:00-04:00,long,timeout,
2023-03-24 09:30:00-04:00,short,target,1.9928387281583264
2023-03-28 10:25:00-04:00,short,target,1.9869178440613864
2023-03-30 10:10:00-04:00,short,stop,-1.042579075424754
2023-04-03 10:40:00-04:00,short,target,1.985481997677964
2023-04-04 09:40:00-04:00,short,target,1.9835201054724119
2023-04-06 10:00:00-04:00,long,target,1.9882142183675178
2023-04-10 10:15:00-04:00,long,target,1.9883177570098918
2023-04-11 10:25:00-04:00,long,stop,-1.1049790041928593
2023-04-12 10:10:00-04:00,long,stop,-1.037449176117324
2023-04-14 09:40:00-04:00,long,stop,-1.0455018200716182
2023-04-17 10:15:00-04:00,long,stop,-1.0921537651346933
2023-04-18 10:00:00-04:00,short,target,1.9939932724653051
2023-04-20 09:45:00-04:00,long,target,1.9907952871873789
2023-04-21 10:10:00-04:00,long,target,1.9901574803153481
2023-04-24 10:00:00-04:00,short,target,1.9914994899696872
2023-04-26 10:30:00-04:00,long,target,1.9870264660100148
2023-04-27 11:00:00-04:00,short,stop,-1.0879839115089003
2023-04-28 10:40:00-04:00,short,target,1.9838605551979454
2023-05-01 10:35:00-04:00,long,target,1.9860178970925058
2023-05-02 09:50:00-04:00,long,stop,-1.139776357816302
2023-05-03 10:05:00-04:00,short,target,1.9813710879298538
2023-05-09 10:00:00-04:00,long,stop,-1.0739957716670612
2023-05-10 09:45:00-04:00,short,stop,-1.0806897823644073
2023-05-11 09:35:00-04:00,short,stop,-1.0386654882890274
2023-05-15 09:55:00-04:00,short,stop,-1.0488690309955637
2023-05-16 09:55:00-04:00,short,target,1.9847560975619052
2023-05-17 10:10:00-04:00,long,target,1.985083532220461
2023-05-19 09:50:00-04:00,short,target,1.9868282402535917
2023-05-22 10:05:00-04:00,short,target,1.9903063202795543
2023-05-30 09:55:00-04:00,short,timeout,
2023-05-31 09:40:00-04:00,long,stop,-1.0558570060626915
2023-06-01 10:20:00-04:00,short,stop,-1.0807493540014386
2023-06-02 09:50:00-04:00,short,stop,-1.0286828820555192
2023-06-05 09:55:00-04:00,short,stop,-1.0436082731112986
2023-06-07 09:55:00-04:00,short,target,1.9918032786887934
2023-06-09 11:00:00-04:00,long,target,1.980739599385151
2023-06-13 09:50:00-04:00,short,target,1.9921635007212037
2023-06-14 11:00:00-04:00,short,stop,-1.0837320574122613
2023-06-15 09:35:00-04:00,short,stop,-1.027878672018927
2023-06-16 10:45:00-04:00,short,stop,-1.0552050473168717
2023-06-20 09:55:00-04:00,short,target,1.9930881946366303
2023-06-22 09:45:00-04:00,long,target,1.9940730203889505
2023-06-23 10:10:00-04:00,long,target,1.994041944709389
2023-06-26 10:35:00-04:00,short,target,1.9935716122398155
